ID, Name, Address,Dob,Class,SEX,Issue Date,Expiry Date
531245633, Tristan Abby, "3303 Clay Street,12-10-1924, A, M, 13/12/2018, 13/12/2023
708755823, Stella Viana, "3585 Front Street North,07-06-1914, A, F, 18/12/2017, 18/12/2022
183965654, Brenton Urick, "5893 Country Club Road,23-09-1938, C, F, 8/8/2018, 8/8/2023
62925448, Kenneth Martinez, "7691 Cedar Avenue, 16/8/1929, A, F, 19/4/2018, 19/4/2023
328540075, Ryan Perez, "7441 Rose Street, 1/10/1909, C, M, 14/3/2019, 14/3/2024
313590295, Aditya Yniguez, "4444 Summit Avenue, 15/10/1940, C, M, 11/6/2019, 11/6/2024
595618129, Jolie Moore, "1334 Jefferson Avenue, 7/5/1980, C, M, 10/1/2017, 10/1/2022
740418899, Troy Anderson, "3741 White Street, 21/2/1982, B, F, 2/3/2017, 2/3/2022
780105117, Mia Garcia, "1624 Franklin Avenue, 17/12/1944, C, F, 1/10/2019, 1/10/2024
386885841, Jos Rainey, "9328 Summit Avenue, 3/6/1946, A, M, 24/9/2017, 24/9/2022
303590544, Russell Zurick, "859 Laurel Drive, 27/6/1957, C, M, 2/12/2018, 2/12/2023
811527105, Natalie Edwards, "5034 Front Street North, 11/7/1929, A, F, 11/10/2018, 11/10/2023
176213449, Aditya Wafford, "7419 Woodland Drive, 21/9/1978, B, M, 1/3/2018, 1/3/2023
682206487, Scott Adams, "8298 River Street, 28/9/1942, C, F, 8/10/2018, 8/10/2023
211791671, Paul Wesenberg, "5187 Briarwood Drive, 21/8/1958, C, F, 4/7/2017, 4/7/2022
479658240, Camilla Baker, "2379 Ann Street, 11/11/1903, A, M, 25/5/2017, 25/5/2022
207338136, Reagan Thompson, "2062 Charles Street, 6/3/1909, A, F, 20/3/2018, 20/3/2023
360020332, Orion Negley, "1538 Pleasant Street, 15/3/1982, B, M, 6/4/2017, 6/4/2022
130582597, Diamond Waggett, "10040 Windsor Drive, 1/12/1962, C, F, 11/2/2018, 11/2/2023
768562889, Taylor Caffee, "5205 King Street, 1/2/1972, A, M, 12/1/2017, 12/1/2022
502121293, Eric Johnson, "5462 Ann Street, 21/2/1934, B, F, 7/7/2017, 7/7/2022
806876504, Steven Vasko, "2181 Country Club Road, 1/7/1965, A, M, 25/10/2018, 25/10/2023
412474841, Gideon White, "10049 Charles Street, 20/5/1935, C, F, 7/4/2019, 7/4/2024
373431497, Amani Davis, "7903 Maiden Lane, 18/1/1921, B, M, 15/9/2017, 15/9/2022
564448935, Emmy Phillips, "5604 Garfield Avenue, 7/4/1959, A, F, 12/4/2019, 12/4/2024
301402961, Ashley Nagy, "1904 Broad Street, 28/4/1938, B, M, 7/4/2017, 7/4/2022
229372436, Jesse Lopez, "4141 Cedar Lane, 6/2/1959, B, M, 27/7/2019, 27/7/2024
772276038, Vivian Ohrt, "8420 Heather Lane, 2/4/1918, A, F, 15/3/2019, 15/3/2024
654590944, Emma Tevlin, "7971 Jefferson Avenue, 22/12/1975, B, F, 9/3/2017, 9/3/2022
713964501, Brian Caffee, "6531 Laurel Lane, 17/3/1965, B, F, 22/7/2019, 22/7/2024
104697358, Dallas Viana, "5696 Arlington Avenue, 11/4/1963, B, M, 24/4/2018, 24/4/2023
518851646, Amber Viana, "3881 Laurel Lane, 12/10/1959, A, M, 7/10/2018, 7/10/2023
213695294, Ralph Harber, "5746 Woodland Drive, 27/3/1929, C, M, 26/3/2019, 26/3/2024
89893439, Walker Nelson, "4677 Olive Street, 20/7/1906, B, M, 16/7/2017, 16/7/2022
210644385, Caden Lee, "4437 Front Street North, 7/4/1922, B, F, 19/12/2017, 19/12/2022
670358142, Reagan Abelson, "755 Cedar Avenue, 22/4/1917, B, M, 23/10/2017, 23/10/2022
61754841, Van Parker, "2321 King Street, 22/1/1949, C, M, 17/3/2018, 17/3/2023
577901968, Isabelle Nelson, "7845 Laurel Drive, 11/1/1989, B, F, 7/10/2019, 7/10/2024
643198660, Brooklyn Hill, "4817 Clay Street, 28/2/1932, B, M, 7/7/2019, 7/7/2024
719481671, Justin Hernandez, "4533 Rose Street, 9/3/1976, A, F, 20/2/2019, 20/2/2024
28045111, Jason Vasko, "6958 Highland Drive, 3/10/1926, C, M, 14/4/2017, 14/4/2022
288883804, Rihanna Moore, "5429 Woodland Drive, 13/2/1919, C, M, 25/1/2018, 25/1/2023
811526458, Jayden Brown, "3110 Arlington Avenue, 1/12/1944, A, M, 19/6/2019, 19/6/2024
866093436, Javion Ohrt, "9275 Crescent Street, 12/7/1927, C, F, 28/8/2019, 28/8/2024
304418166, Riley Fader, "5521 Atlantic Avenue, 7/1/1998, B, F, 8/6/2017, 8/6/2022
744686010, Larry Waggett, "10018 Pleasant Street, 20/4/1943, A, F, 26/1/2017, 26/1/2022
96885000, Brenton Martinez, "4695 Olive Street, 9/12/1983, A, M, 24/11/2017, 24/11/2022
831729802, Jose Turner, "123 Clay Street, 8/12/1950, A, M, 28/9/2019, 28/9/2024
482793817, Brian Dahn, "1110 Forest Street, 23/9/1966, A, M, 15/5/2019, 15/5/2024
297953115, Emma Collins, "3015 John Street, 7/8/1990, C, M, 13/3/2019, 13/3/2024
852356183, Emily Baker, "6077 Willow Avenue, 7/2/1935, A, F, 12/2/2018, 12/2/2023
66991294, Brooklyn Kairis, "1491 Atlantic Avenue, 9/12/1993, B, F, 5/11/2019, 5/11/2024
